Datetime,Tweet Id,Text
2020-07-01 18:08:34+00:00,1278390052033302530,"Bitcoin on Ethereum :
#wBtc @WrappedBTC 
#renBtc @renprotocol 
#pBtc @pTokens_io 
#tBtc @keep_project 
#hBtc @HuobiGlobal 
#Btc++ @PieDAO_DeFi 
https://t.co/FZJuOacMlr #DeFi  @CamiRusso @DefiantNews"
2020-07-01 13:53:26+00:00,1278325847162789890,"Look at this amazing map of #Newbury from about 1890. The blue marked section is where our training centre is on Cheap Street! It was the 'corn store' 🤩

#Berkshire #OldMap #WBTC https://t.co/yOamLKaMqO"
2020-07-01 17:41:34+00:00,1278383257567006723,"Tomorrow we have the UK's favourite entrepreneur and philanthropist, @MrVikas on #WeBuiltThisCity. Hear from a man who's creating a legacy in the worlds of business and social change. Tune in from 9am tomorrow 🎙️https://t.co/qvAIuSwyeo #WBTC https://t.co/RtHTJ1yVrr"
2020-07-01 17:40:03+00:00,1278382874476064768,"Tomorrow, our #WeBuiltThisCity episode is a love letter to social change, and it's from none other than @MrVikas - one of the UK's most inspiring entrepreneurs and philanthropists. I can't wait for you all to hear it. Tune in from 9am https://t.co/QRzFIcwJhx #WBTC https://t.co/1UkiCrh9ve"
2020-07-01 17:10:00+00:00,1278375313639120899,Still bedroom recording #WeBuiltThisCity podcast until we can get back into @ReformRadioMCR 🛏 Tomorrow’s guest is @MrVikas who never fails to inspire me 🙏 tune in from 9am https://t.co/qXHuLW0tWQ 🐝 #WBTC https://t.co/tXGEfjuaLT
2020-07-01 13:08:43+00:00,1278314590862839809,"24-hour Top 5 Token Volumes (excl.ETH) on - @KyberNetwork 01 Jul '20:
🥇 1) #USDT: $582,912
🥈 2) #USDC: $470,826
🥉 3) #BAT: $465,436
🏅 4) #KNC: $444,293
🏅 5) #WBTC: $415,479"
2020-07-02 11:00:11+00:00,1278644634114195456,"Not settling for just being successful in business, @MrVikas is also Chair of several social enterprises and speaks publicly on issues ranging from mental health to inequality. Here, he discusses why he's determined to give back https://t.co/QRzFIcwJhx #WBTC https://t.co/y56uLyhsHz"
2020-07-02 13:15:21+00:00,1278678651270074368,"1/3
- Ahoy! #BTC++ is released in our bilingual 🇺🇸-🇨🇳 #DeFi List 2day! 🍻
🔗https://t.co/oN9LY86YCp
- What is #BTC++ ? 🧐
BTC++ (#ERC20) is the synthetic BTC asset comprised of a set of BTC-backed Ethereum tokens (#imBTC, #pBTC, #sBTC &amp; #WBTC) via @PieDAO_DeFi . https://t.co/vAtZwdaAML"
2020-07-02 08:13:47+00:00,1278602756807426048,"I was a guest on the #WeBuiltThisCity podcast with @lisam2301 and @RDPRtweets talking about philanthropy, entrepreneurship, social-change and all things #Manchester - have a listen! https://t.co/TEBO8wra45 #WBTC https://t.co/OoietWN98J"
2020-07-02 11:30:06+00:00,1278652163938549761,"Hear from @MrVikas about the hidden discrimination that we find ourselves dealing with day to day, and how to overcome it. Always remember, it's their loss https://t.co/DEP9iPVv3f #WBTC https://t.co/7lQ8cv8avM"
